"Key","en-US","es-MX","ja-JP","eo-US","notes"
"LangName","English","Español","日本語","Esperanto","used in language-select menu; names each language in that language"
"HighDef","high-definition","alta definición","高精細","Alta difino","only used for unit testing"
"Paused","PAUSED","PAUSA","一時停止中です","PAZITA","shown when the game is paused; should be all caps"
"PauseHelp","Press Esc to unpause,\nShift-Esc to step\nF5 to hide/show pause UI","Presione Esc para continuar,\nShift+Esc para avanzar un paso","ポーズを解除するにはPキーを押し、\nShift-Escを押してステップする","Premu Esc por malŝalti, \ nShift-Esc por paŝi \ nF5 por kaŝi / montri paŭzon UI","provides instructions while the game is paused"
"Unpause","Continue Game","Continuar juego","続ける","Daŭri Ludo","Command to unpause the game and continue"
"QuitGame","Quit Game","Salir del juego","終了","Forlasi Ludo","Command to exit the game completely"
"ConfigControls","Configure Controls","Configurar controles","コントロールを構成","Agordi Kontrolojn","Command to go to the controller configuration screen"
"OtherOpts","Other Options","Otras Opciones","他のオプション","14/5000
Aliaj opcioj","Command to go to the ""other options"" screen"
"VidModeSkinny","Video Mode: Anamorphic","Modo de video: Anamórfico","ビデオモード：アナモフィック","Video Modo: Anamorfa","Label describing a horizontally compressed video display (and command to switch to the other)"
"VidModeFat","Video Mode: Standard","Modo de video: Estándar","ビデオモード：標準","Video Modo: Norma","Label describing a normal display mode (and command to switch to the other mode)"
"Back","Back","Volver","戻る","Reveni","General command to return to the previous menu or screen"
"SelectKeyPrompt","Press key or button for:","Pulse la tecla o el botón para:","キーまたはボタンを押して：","Premu ŝlosilon aŭ butonon por:","Prompts user to press a key or gamepad button for a certain function (e.g. High Punch)"
"PlayerOne","Player One","Jugador Uno","プレーアー1","Ludanto Unu","Label indicating the first player"
"PlayerTwo","Player Two","Jugador Dos","プレーアー2","Ludanto Du","Label indicating the second player"
"UpAction","Up","Arriba","上","Supre","Label for an input that moves the player up"
"DownAction","Down","Abajo","下","Sube","Label for an input that moves the player down"
"LeftAction","Left","Izquierda","左","Maldekstra","Label for an input that moves the player left"
"RightAction","Right","Derecha","右","Dekstra","Label for an input that moves the player right"
"HighPunchAction","High Punch","Puñetazo Alto","上段突き","Alta Punĉo","Label for an input to punch to the face"
"LowPunchAction","Low Punch","Puñetazo Bajo","中段突き","Malalta Punĉo","Label for an input to punch to the chest (or lower)"
"HighKickAction","High Kick","Patada Alta","上段蹴り","Alta Koko","Label for an input to kick to the head"
"LowKickAction","Low Kick","Patada Baja","中段蹴り","Malalta Koko","Label for an input to kick to the chest (or lower)"
"BlockAction","Block","Bloquee","防御","Gardi","Label for an input to assume a defensive guard position"
"StartAction","Start","Comienzo","始め","Komenci","Label for an input that means Start/Go/Begin/Let's Play!"
"ConfigureAll","Configure All","Configurar Todo","全てを設定","Agordi Ĉion","Command to configure all input actions at once"
"RestoreDefaults","Restore Defaults","Restaurar Predeterminados","既定値に戻る","Restarigi Antaŭfaŭltojn","Command to return settings to their default values"
"VideoSettings","Video Settings","Ajustes de Video","ビデオ設定","Video Agordoj","Header for a menu of video display options"
"AudioSettings","Audio Settings","Configuraciones de audio","オーディオ設定","Aŭdiaj Agordoj","Header for a menu of audio (sound) options"
"Credits","Credits","Créditos","クレジット","Kreditoj","Command to view a listing of who worked on the game (and header for that listing)"
"Language","Language","Idioma","言語","Lingvo","Command to change the display language (and header for the menu that does that)"
"MasterVolume","Master Volume","Principal Volumen","マスターボリューム","Ĉefa Volumo","Label for the master volume slider"
"MusicVolume","Music Volume","Música Volumen","ミュージックボリューム","Muzika Volumo","Label for the music volume slider"
"EffectsVolume","Effects Volume","Efectos Volumen","エフェクト音量","Efektoj Volumo","Label for the effects volume slider"
"RoundNum","Round #","Ronda #","第#ラウンド","Raŭndo #","Shows the round number at the start of a match (use # as a placeholder for the number)"
"SomeoneWins","@ WINS","@ GANA","@は勝つ","@ GAJNAS","Shows who won (use @ as placeholder for winner name)"
"DoubleIceBackfire","DOUBLE ICE BACKFIRE","DOBLE HIELO CONTRAPRODUCENTE","ダブルアイスバックファイア","DUOBLA GLACIO MISKARBURI","Shown when player tries to ""ice"" an opponent who is already iced, and so ices himself instead"
"TimesUp","TIME'S UP","¡EL TIEMPO!","時間切れ","TEMPO ESTAS!","Shown when the timer runs out, ending the round"
"HealthDanger","DANGER","PELIGRO","危険","PANELO","shown when a player's health is very low; they are in danger of losing the round"